Fonte ;Categoria da Falacia;Nome da Falacia;Nome em Latim;Descricao;Exemplo 1;Exemplo 2;Exemplo 3;Argumentação valida;;;;;
1;Informais;Apelo à Tradição;Ad Antiquitatem;"Argumento em que se justifica sua aceitação baseado no fato de que ""sempre foi feito assim.""";"""Se meu avô diz que Garrincha foi melhor que Pelé, deve ser verdade.""";"""Nesta empresa nunca foi permitido que mulheres ascendessem à posição de diretoria; sempre foi assim, e não é por termos agora acionistas feministas que isto precisa mudar.""";"O apelo à tradição baseia-se na noção de que tudo o que funcionou no passado irá funcionar no futuro:
""Todas as grandes civilizações na História da Humanidade sempre providenciaram subsídios do Estadopara fermento da Arte e da Cultura. Por isso, temos que fazer o mesmo.""";;;;;;
1;Informais;Espantalho;;A falácia do espantalho é uma tentativa de reconstrução do argumento oponente de forma diferente, mais fraca e não representativa da intenção original do argumentador. Em outras palavras transforma-se o argumento original em um” espantalho”.;"João: “Eu acho que o capitalismo é bom porque ele incentiva as pessoas a trabalhar e poupar”.
José:”Você acha que o capitalismo é bom porque diz que a riqueza vem a mão de quem trabalha, mas isso é claramente falso, já que muitas ricas simplesmente herdam suas fortunas sem nuca trabalhar, por isso capitalismo é um fracasso.”

José acabou de reconstruir um espantalho, pois transformou o argumento de João na idéia de que herdeiros conseguem riquezas sem trabalhar e isso seria, na sua visão, um demérito do sistema capitalista capaz de aniquilar todo as outras vantagens. Mas José nada disse sobre o que João realmente argumentos, a idéia de que o capitalismo incentiva o trabalho e a poupança.";;;;;;;;
1;Informais;Falácia de Deversão (ou Red Herring);;"O Red Herring(arenque vermelho) é a introdução de material irrelevante ao ponto em discussão, em geral com o objetivo de desviar o argumento para outra conclusão, muitas vezes mais fácil de ser atacada. Note que isto é relativamente diferente do que ocorre com o Espantalho, onde o argumento é deformado para depois ser atacado.

Esta falácia também é conhecida por Ignoratio Elenchi (ignorância da refutação), embora este termo possa ser usado para englobar a maioria das falácias informais. Em todos esses casos, está-se usando de um recurso inconveniente para desviar a atenção do suporte correto que a conclusão deveria ter.";"""Não acho que homens e mulheres devam ganhar o mesmo salário por funções iguais. Sou contra a igualdade entre os sexos. Em um shopping center, imagine o que aconteceria se os banheiros fossem unissex: tanto homens quanto mulheres ficariam desconfortáveis. Você não acha que tenho razão?""";;;;;;;;
1;Informais;Falácia da Falácia;Ad Logicam;Esta falácia propõe que uma conclusão é falsa só porque foi anteriormente apresentada como resultado de um argumento falaciosos. Se o argumento for falacioso ainda não podemos deduzir que a sua conclusão é falsa: ela pode ser suportada por um outro argumento, mais bem sucedido.;"Pedro: “Simplificando a fração 16/64 desta forma: Corto o seis do numerador com o seis do denominador e fico com 1/4.”
Mario: “Epa! Está errado! Você não pode cortar o seis em cima e em baixo.”
Pedro; “ O que? Você esta querendo me dizer que 16/64 não é igual a 1/4?”
A falácia Ad Logicam esta sendo cometida por Pedro em sua ultima intervenção, pois embora sua simplificação esteja incorreta, o resultado final por ele obtido está - por coincidência - correto.";;;;;;;;
1;Informais;Não Há Explicação;No Sequitur;"Esse tipo de falácia é um dos casos mais engraçados, pois representa em geral argumentos que tem no mínimo uma desculpa esfarrapada.
No Sequitur ocorre quando não há conexão lógica entre premissa e conclusões, todos os argumentos precisam que as premissas levem-nos a crer na veracidade da conclusão. Os argumentos que cometem o No Sequitur falham nesse sentido. Pode até ser que a conclusão seja verdadeira, mas não foi por causa das premissa utilizadas.
É bom frisar ainda que No Sequitur é também uma das falácias mais preferidas por políticos ( talvez só perdendo para Ed Hominems)";“Nosso país irá prosperar, porque Deus é brasileiro”;"“protegendo os macacos, estaremos protegendo nos mesmos, porque eles são os animais mais próximos do homem.”
Brigitte Bardot, durante ECO-92 (Stycer 1996)

Para ser um pouco irônico há como argumentar que, se isso for verdade, devemos iniciar prontamente a proteção aos ácaros, pois eles são animais próximos ainda do homem, temos que defender os outros animais, mas não com argumentos como esse.";;;;;;;
1;Informais;Apelo à Natureza;;Nesta falácia, alega-se que um argumento é obviamente verdadeiro porque se refere a uma “ Lei da natureza”. Ocorre também quando se considera um comportamento justificável porque ele faz, supostamente, parte da natureza do ser humano.;"“É claro que a homossexualidade é um comportamento errado. Qual foi a ultima vez que você viu na natureza dois animais do mesmo sexo tendo relações?”

Este argumento não é só problemático em relação ao Apelo a Natureza, é também fatalmente errado, pois há diversos cosas de homossexualismo em primatas documentados por etologistas.";;;;;;;;
1;Informais;Questão Complexa;;A principal idéia desta falácia é colocar uma questão que não importa que respostas tenha, compromete o opositor. Quem for tentar responder a qualquer uma destas perguntas, estará em apuros.;“Quando foi que você parou de tomar drogas?”;“Onde foi que você escondeu o dinheiro que roubou?”;;;;;;;
1;Informais;Descida Escorregadia;;Nesta falácia assume-se uma pequena movimentação para uma direção particular irá desencadear um processo irreversível e incontrolável de movimentação na mesma direção.;"""Sou contra a eutanásia, porque após aprovarmos essa prática nada nos deterá na trajetória para o assassinato e até mesmo o negócio generalizado.""";;;;;;;;
1;Informais;Antes Disso Então Por Causa Disso;Post Hoc Ergo Propter Hoc;Por proceder um evento, este outro deve ser necessariamente a sua causa.;A noite seguiu-se o dia, mas não podemos dizer que a noite provoca o dia.;;;;;;;;
1;Informais;Analogia Imprópria;;As analogias são muito úteis durante explanações difíceis de serem entendidos, podemos explicar o fluxo de eletricidade num fio de cobre tomando como base uma analogia do fluxo de água em um cano.;;;;;;;;;
